idx,inference_time(localize),inference_time(recognize),result,,
0,49.080002,671.650024,17no9378,,
1,47.950001,670.51001,69oo6365,,
2,48.110001,670.450012,ru7843,,
3,47.75,670.059998,95ro1537,,
4,48.52,670.469971,6du8500,,
5,47.709999,670.070007,2do7412,,
6,47.860001,669.799988,78oo510,,
7,47.619999,669.900024,chungbuk80ja5245,,
8,48.259998,670.320007,1na1696,,
9,49.040001,672.02002,61ro1333,,
10,48.959999,671.669983,87aa6047,,
11,49.009998,672.380005,09doe8094,,
12,49.630001,672.25,89su5949,,
13,48.009998,670.340027,84na5068,,
14,48.400002,671.219971,gyeongbuk99aa2729,,
15,48.009998,670.909973,03roe4413,,
16,48.470001,670.76001,6bu9035,,
17,47.709999,670.159973,90goe8371,,
18,48.27,671.01001,jeonnam81ba3372,,
19,47.610001,670.409973,jeonbuk85sa1708,,
20,49.220001,671.76001,30ro9657,,
21,47.700001,669.630005,35ju6456,,
22,48.119999,670.409973,49mu9526,,
23,48.049999,670.109985,14ru6939,,
24,49.389999,671.869995,84roe7671,,
25,47.529999,669.76001,gyeonggi98sa5571,,
26,48.889999,671.090027,12ra2903,,
27,47.799999,670.210022,38jo7193,,
28,49.549999,672.630005,89wu4243,,
29,48.32,670.97998,gyeongbuk86ba6697,,
30,47.459999,669.98999,29da618,,
31,48.209999,670.429993,25aoe2053,,
32,49.59,671.619995,3ro9312,,
33,47.650002,669.950012,gyeonggi94ba7961,,
34,48.310001,671.5,sejong06ga5305,,
35,49.040001,671.890015,95da1016,,
36,47.779999,670.369995,19oo3099,,
37,47.810001,670.109985,gyeongbuk99aa7721,,
38,49.130001,671.369995,58goe7317,,
39,48.68,670.849976,55ga9691,,
40,47.889999,670.080017,14so813,,
41,48.240002,670.700012,86wu2953,,
42,47.959999,670.210022,16ga5848,,
43,47.59,670.309998,6da7650,,
44,46.689999,670.22998,28doe3468,,
45,48.18,670.469971,15ma3258,,
46,49.240002,671.539978,30ru0823,,
47,48.630001,670.900024,47ma5781,,
48,47.73,670.340027,25bo606,,
49,48.380001,671.47998,67wu6684,,
50,49.450001,672.789978,98ba3721,,
51,48.849998,671.080017,01aoe7618,,
52,49.139999,672.48999,54goe1226,,
53,47.799999,670.219971,96roe9931,,
54,49.009998,671.22998,25su9594,,
55,48.23,670.690002,incheon82sa9120,,
56,47.639999,670.030029,56jo715,,
57,48.150002,670.47998,24gu2760,,
58,47.380001,669.469971,91ra739,,
59,47.279999,669.969971,53joe6427,,
60,47.77,670.210022,41goe351,,
61,49.060001,671.700012,81jo4365,,
62,49,671.380005,52na6909,,
63,47.919998,670.960022,58da4954,,
64,48.580002,671.400024,94soe5109,,
65,47.599998,670.099976,12su7498,,
66,48,671.169983,08aoe6400,,
67,47.93,670.190002,16gu981,,
68,49,671.159973,20no631,,
69,49.689999,672.109985,23do1672,,
70,47.700001,669.840027,gyeonggi95ja1735,,
71,48.349998,670.679993,83so2460,,
72,49.25,671.640015,61du5219,,
73,47.82,671.679993,80do5690,,
74,49.099998,671.380005,26joe6315,,
75,49.599998,671.710022,jeonbuk90sa1330,,
76,48.389999,670.349976,15nu6064,,
77,48.080002,670.400024,84joe1201,,
78,49.220001,672.099976,50mo1379,,
79,47.740002,670.27002,39ma1312,,
80,47.91,670.219971,34no7487,,
81,47.990002,670.22998,35go5239,,
82,48.07,670.419983,29su6125,,
83,48.209999,670.909973,38ha158,,
84,49.779999,672,gyeongnam81aa9743,,
85,47.560001,670.140015,43su4249,,
86,48.529999,670.909973,chungbuk87ja2001,,
87,48.110001,670.77002,46bu6807,,
88,49,671.5,68ha3757,,
89,47.639999,670.099976,29ju634,,
90,48.060001,670.049988,60no540,,
91,47.779999,670.219971,38moe2016,,
92,49.07,671.599976,67gu6358,,
93,47.720001,670.320007,30doe4574,,
94,48.73,671.320007,01ha8335,,
95,49.310001,671.690002,84go9439,,
96,48.48,670.799988,32noe2061,,
97,48.689999,670.97998,53noe954,,
98,47.73,670.179993,57su1982,,
99,48.310001,670.809998,38ha4738,,
100,49.049999,671.47998,68soe451,,
101,48.27,671.02002,803968,,
102,49.610001,675.890015,40ra3597,,
103,48.509998,670.799988,busan95aa9615,,
104,48.900002,670.98999,gyeongbuk81aa6315,,
105,48.720001,671.849976,50ro3984,,
106,49.02,671.210022,51joe5947,,
107,49.34,672.52002,gyeongbuk06no7987,,
108,48.279999,670.880005,90ma938,,
109,47.720001,669.98999,74gu1519,,
110,48.23,670.590027,57su6212,,
111,47.889999,669.929993,18jo3928,,
112,48.290001,670.650024,16su2526,,
113,48.849998,671.48999,57bo445,,
114,47.57,669.929993,52go537,,
115,47.52,669.869995,56oo7571,,
116,48.82,671.320007,82boe8487,,
117,47.82,670.419983,58bu7510,,
118,49.09,671.330017,69mo451,,
119,49.540001,672.369995,27go122,,
120,49.299999,671.890015,01ho9349,,
121,47.970001,670.169983,21ju3217,,
122,47.779999,670.289978,57doe2267,,
123,48.57,671.130005,83bu3273,,
124,48.150002,670.859985,11ro185,,
125,48.09,670.320007,incheon98sa8605,,
126,48.360001,670.619995,69nu4189,,
127,49.369999,671.789978,21da0697,,
