idx,inference_time(localize),inference_time(recognize),result,ground_truth,isTrue
0,49.080002,671.650024,17no9378,17no9378,O
1,47.950001,670.51001,69oo6365,69oo6365,O
2,48.110001000000004,670.450012,ru7843,78ru4333,X
3,47.75,670.0599980000001,95ro1537,95ro1537,O
4,48.52,670.469971,6du8500,66du8500,X
5,47.709998999999996,670.070007,2do7412,22do7412,X
6,47.860001000000004,669.799988,78oo510,78oo5110,X
7,47.619999,669.900024,chungbuk80ja5245,chungbuk80ja5245,O
8,48.259997999999996,670.320007,1na1696,11na1696,X
9,49.040001000000004,672.02002,61ro1333,61ro1333,O
10,48.959998999999996,671.669983,87aa6047,daejeon87aa6047,X
11,49.009997999999996,672.380005,09doe8094,09doe8094,O
12,49.630001,672.25,89su5949,89su5949,O
13,48.009997999999996,670.340027,84na5068,84na5068,O
14,48.400002,671.219971,gyeongbuk99aa2729,gyeongbuk99aa2729,O
15,48.009997999999996,670.909973,03roe4413,03roe4413,O
16,48.470001,670.76001,6bu9035,66bu9035,X
17,47.709998999999996,670.159973,90goe8371,90goe8371,O
18,48.27,671.01001,jeonnam81ba3372,jeonnam81ba3372,O
19,47.610001000000004,670.409973,jeonbuk85sa1708,jeonbuk85sa1708,O
20,49.220001,671.76001,30ro9657,30ro9657,O
21,47.700001,669.630005,35ju6456,35ju6456,O
22,48.119999,670.409973,49mu9526,49mu9526,O
23,48.049999,670.1099849999999,14ru6939,14ru6939,O
24,49.389998999999996,671.869995,84roe7671,84roe7671,O
25,47.529999,669.76001,gyeonggi98sa5571,gyeonggi98sa5571,O
26,48.889998999999996,671.090027,12ra2903,12ra2903,O
27,47.799999,670.210022,38jo7193,38jo7193,O
28,49.549999,672.630005,89wu4243,89wu4243,O
29,48.32,670.97998,gyeongbuk86ba6697,gyeongbuk86ba6697,O
30,47.459998999999996,669.98999,29da618,29da6188,X
31,48.209998999999996,670.429993,25aoe2053,25aoe2053,O
32,49.59,671.619995,3ro9312,33ro9312,X
33,47.650002,669.950012,gyeonggi94ba7961,gyeonggi94ba7961,O
34,48.310001,671.5,sejong06ga5305,sejong06ga5305young,X
35,49.040001000000004,671.8900150000001,95da1016,95da1016,O
36,47.779999,670.369995,19oo3099,19oo3099,O
37,47.810001,670.1099849999999,gyeongbuk99aa7721,gyeongbuk99aa7721,O
38,49.130001,671.369995,58goe7317,58goe7317,O
39,48.68,670.849976,55ga9691,55ga9691,O
40,47.889998999999996,670.080017,14so813,14so8813,X
41,48.240002000000004,670.700012,86wu2953,86wu2953,O
42,47.959998999999996,670.210022,16ga5848,16ga5848,O
43,47.59,670.3099980000001,6da7650,66da7650,X
44,46.689999,670.22998,28doe3468,28doe3468,O
45,48.18,670.469971,15ma3258,15ma3258,O
46,49.240002000000004,671.539978,30ru0823,30ru0823,O
47,48.630001,670.900024,47ma5781,47ma5781,O
48,47.73,670.340027,25bo606,25bo6006,X
49,48.380001,671.47998,67wu6684,67wu6684,O
50,49.450001,672.789978,98ba3721,seoul98ba3721,X
51,48.849998,671.080017,01aoe7618,01aoe7618,O
52,49.139998999999996,672.48999,54goe1226,54goe1226,O
53,47.799999,670.219971,96roe9931,96roe9931,O
54,49.009997999999996,671.22998,25su9594,25su9594,O
55,48.23,670.6900019999999,incheon82sa9120,incheon82sa9120,O
56,47.639998999999996,670.030029,56jo715,56jo7715,X
57,48.150002,670.47998,24gu2760,24gu2760,O
58,47.380001,669.469971,91ra739,91roe7399,X
59,47.279999,669.969971,53joe6427,53joe6427,O
60,47.77,670.210022,41goe351,41goe3551,X
61,49.060001,671.700012,81jo4365,81jo4365,O
62,49.0,671.380005,52na6909,52na6909,O
63,47.919998,670.960022,58da4954,58da4954,O
64,48.580002,671.400024,94soe5109,94soe5109,O
65,47.599998,670.099976,12su7498,12su7498,O
66,48.0,671.169983,08aoe6400,08aoe6840,X
67,47.93,670.1900019999999,16gu981,16gu9811,X
